Season	Episode	AirDate	Viewers	Product	Deal	GotDeal	Asking	DealTerms	Sharks	Investors
6	28	2015-05-08	6.68	syndaver labs	YES	YES	$3,000,000 for 10%	$3,000,000 for 25%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Robert Herjavec
6	28	2015-05-08	6.68	you kick ass	YES	YES	$100,000 for 10%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	28	2015-05-08	6.68	zoom interiors	YES	YES	NA	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	29	2015-05-15	7.04	gato cafe	NO	NO	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Nick Woodman	NA
6	29	2015-05-15	7.04	shark wheel	YES	YES	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Nick Woodman	NA
6	29	2015-05-15	7.04	spikeball	YES	YES	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Nick Woodman	NA
6	29	2015-05-15	7.04	sway motorsports	YES	YES	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Nick Woodman	NA
7	1	2015-09-25	6.08	acton	NO	NO	$1 million for 3.5%	NA	Mark Cuban, Ashton Kutcher, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	1	2015-09-25	6.08	mcclary bros. drinking vinegars	NO	NO	$100k for 15%	NA	Mark Cuban, Ashton Kutcher, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	1	2015-09-25	6.08	signalvault	YES	YES	$200k for 12%	$200k for 25%	Mark Cuban, Ashton Kutcher, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner and Robert Herjavec
7	1	2015-09-25	6.08	the beebo	YES	YES	$200K for 15%	$200K for 30%	Mark Cuban, Ashton Kutcher, Kevin O'Leary, Lori Greiner, Robert Herjavec	Ashton Kutcher and Lori Greiner
7	2	2015-10-02	6.82	loliware	YES	YES	NA	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	2	2015-10-02	6.82	mikki bey eyelash extensions	NO	NO	$300k for 20%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	2	2015-10-02	6.82	o'dang hummus	YES	YES	$50k for 10%	$50k for 20%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner and Robert Herjavec
7	2	2015-10-02	6.82	splikity	NO	NO	$200k for 20%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	3	2015-10-09	5.84	foot cardigan	YES	YES	$250k for 10%	$250k for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Troy Carter	Mark Cuban and Troy Carter
7	3	2015-10-09	5.84	nerdwax	NO	NO	$80k for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Troy Carter	NA
7	3	2015-10-09	5.84	the two guys bowtie company	YES	YES	$150k for 10%	$150k for 17.5% with a 10% royalty	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Troy Carter	Daymond John and Troy Carter
7	3	2015-10-09	5.84	valpark	NO	NO	$300k for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Troy Carter	NA
7	4	2015-10-16	5.85	dude products	YES	YES	$300k for 10%	$300k for 25%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
