Season	Episode	AirDate	Viewers	Product	Deal	Sharks
8	9	2016-11-18	5.19	barbell apparel	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	9	2016-11-18	5.19	energybits	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	9	2016-11-18	5.19	line cutterz	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	10	2016-12-02	5.2	inboard technology	YES	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	10	2016-12-02	5.2	petplate	NO	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	10	2016-12-02	5.2	nootrobox	NO	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	10	2016-12-02	5.2	nomiku	YES	Mark Cuban, Robert Herjavec, Kevin O'Leary, Lori Greiner, Chris Sacca
8	11	2016-12-09	4.91	sealed by santa	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	11	2016-12-09	4.91	polyglide synthetic ice	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	11	2016-12-09	4.91	digiwrap	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	11	2016-12-09	4.91	hand out gloves	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	12	2017-01-06	5.78	pdx pet design	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	12	2017-01-06	5.78	basic outfitters	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	12	2017-01-06	5.78	victory coffees	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	12	2017-01-06	5.78	naturally perfect dolls	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	13	2017-01-13	5.86	grease bags	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	13	2017-01-13	5.86	pinblock	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	13	2017-01-13	5.86	mama's milkbox	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	13	2017-01-13	5.86	nicepipes apparel	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
